date,open,high,low,close,volume,ticker
2023-06-22,181.19974867789384,184.4639845971855,181.13070922445527,184.4146728515625,51245300,AAPL
2023-06-23,182.98470820219737,184.96691381940127,182.45216546765664,184.0990753173828,53117000,AAPL
2023-06-26,184.24700235631448,185.4501365723536,182.6691169769034,182.7085723876953,48088700,AAPL
2023-06-27,183.31997931240525,185.78541559077308,183.10301971608257,185.45997619628906,50730800,AAPL
2023-06-28,185.33177206150037,187.27453708797546,185.0063477089331,186.63352966308594,51216800,AAPL
2023-06-29,186.46591313429835,187.44223149955704,186.3278492789131,186.96885681152344,46347300,AAPL
2023-06-30,188.98065447297634,191.79124321876165,188.61575961709715,191.28829956054688,85213200,AAPL
2023-07-03,191.10090642215079,191.19952989799955,189.10882958307744,189.79916381835938,31458200,AAPL
2023-07-05,188.92147125163748,190.311965971159,187.98459336367247,188.68478393554688,46920300,AAPL
2023-07-06,187.2153769807983,189.36524537083605,186.5842258571581,189.15814208984375,45094300,AAPL
2023-07-07,188.7636804868427,190.0062550438309,187.60985803081866,188.04376220703125,46815000,AAPL
2023-07-10,186.6434031135775,187.36332142042107,184.4540942539423,186.0023956298828,59922200,AAPL
2023-07-11,186.54480679233018,186.68287064614393,184.02020200954667,185.479736328125,46638100,AAPL
2023-07-12,187.05762565542406,189.04970293089204,185.8643625945321,187.14639282226562,60750200,AAPL
2023-07-13,187.86627557643092,188.54673850979384,187.15622860664624,187.9057159423828,41342300,AAPL
2023-07-14,187.6000029338883,188.53686585918993,187.00830716161786,188.05364990234375,41616200,AAPL
2023-07-17,189.2469126832782,191.6334686208352,189.1581605746784,191.3080291748047,50520200,AAPL
2023-07-18,190.6768691009351,191.64331601668746,189.75971887799713,191.05160522460938,48288200,AAPL
2023-07-19,190.4303150490968,195.48938034906212,189.9865244553515,192.4026641845703,80507300,AAPL
2023-07-20,192.39277822300156,193.7537038386121,189.83858989767532,190.4598846435547,59581200,AAPL
2023-07-21,191.41650251566858,192.2744696321092,188.5861710830146,189.28636169433594,71951700,AAPL
2023-07-24,190.73603816687742,192.21530010696893,189.59207198839397,190.0851593017578,45377800,AAPL
2023-07-25,190.65714646634552,191.75180092732498,190.25281124926505,190.94313049316406,37283200,AAPL
2023-07-26,190.9924625294884,192.93522799592873,190.6473103947794,191.8109893798828,47471900,AAPL
2023-07-27,193.30998316918408,194.47366217807738,189.8879555038913,190.54869079589844,47460200,AAPL
2023-07-28,191.97860770429688,193.91151654263126,191.4559363697747,193.12257385253906,48291400,AAPL
2023-07-31,193.3493708168966,193.7734336784224,192.560428204252,193.73397827148438,38824100,AAPL
2023-08-01,193.52691923606866,194.01013518521242,192.5801849485631,192.90562438964844,35175100,AAPL
2023-08-02,192.3434921357412,192.48155598125388,189.19760772385698,189.91751098632812,50389300,AAPL
2023-08-03,188.92148694956984,189.71041463976601,188.0536484329567,188.52700805664062,61235200,AAPL
2023-08-04,182.95513345446872,184.7894189873242,179.40489853673822,179.47393798828125,115956800,AAPL
2023-08-07,179.6119550266926,180.59812946369578,174.89804242164368,176.37730407714844,97576100,AAPL
2023-08-08,177.20574441802665,177.77772758258462,175.12491507972354,177.31422424316406,67823000,AAPL
2023-08-09,178.36941190145535,178.42857997538025,174.5627769846933,175.72647094726562,60378500,AAPL
2023-08-10,176.99859377509202,178.25103959448677,175.1445959609342,175.5094757080078,54686900,AAPL
2023-08-11,175.10462674008653,176.3883728930982,174.34424265962002,175.56874084472656,52036700,AAPL
2023-08-14,175.74650562753334,177.44501774834183,175.09474782272636,177.2178955078125,43675600,AAPL
2023-08-15,176.64514364841483,177.23763842738072,174.8380051896738,175.23300170898438,43622600,AAPL
2023-08-16,174.9169842350172,176.30935657463468,174.29485048513217,174.36398315429688,46964900,AAPL
2023-08-17,174.9268647491592,175.29223725703497,171.31258808782235,171.8260955810547,66062900,AAPL
2023-08-18,170.14732599213767,172.9123464424467,169.81157749118245,172.30996704101562,61172200,AAPL
2023-08-21,172.88275833759562,173.92951274494206,171.56937297444222,173.64312744140625,46311900,AAPL
2023-08-22,174.84785755399471,175.46010661888187,174.04797988711957,175.01573181152344,42038900,AAPL
2023-08-23,176.28966979952702,179.28181337734125,176.10204114808752,178.857177734375,52722800,AAPL
2023-08-24,178.41277199096436,178.8374075605793,173.8109887437673,174.17637634277344,54945800,AAPL
2023-08-25,175.16386577811136,176.91174101480664,173.62335841851225,176.3784942626953,51449600,AAPL
2023-08-28,177.8400098200833,178.33376298082638,176.31925671498092,177.9387664794922,43820700,AAPL
2023-08-29,177.45489519701718,182.5899254092932,177.25739693272806,181.81967163085938,53003900,AAPL
2023-08-30,182.62942352828824,185.50307057198083,182.43192527543482,185.30555725097656,60813900,AAPL
2023-08-31,185.4931879048022,186.75719481874472,185.13768501849643,185.52281188964844,60794500,AAPL
2023-09-01,187.12258052751662,187.54720101813678,185.92769123419916,187.09295654296875,45766500,AAPL
2023-09-05,185.92768366781115,187.6064413525269,185.26605625958229,187.32994079589844,45280000,AAPL
2023-09-06,186.04618648324464,186.4905763861184,179.20277485131902,180.62478637695312,81755800,AAPL
2023-09-07,172.99135904079122,175.98351721110967,171.3718491931888,175.3416290283203,112488800,AAPL
2023-09-08,176.12176201867752,177.98814840122637,175.56874581023814,175.95387268066406,65551300,AAPL
2023-09-11,177.82026144859472,178.0473836718388,175.1243584797436,177.11912536621094,58953100,AAPL
